entity_id,entity_type,alias_raw,matching_key
A001ff641f9,aggregate,[Autres personnes morales,autres personnes morales
A1f2685326b,aggregate,[Personnes physiques,personnes physiques
A1f679df8cf,aggregate,Actionnaires Minoritaires,actionnaires minoritaires
A52b0d914b0,aggregate,Actionnaires,actionnaires
A5ba4172114,aggregate,Actionnaires de référence,actionnaires de reference
A5ba648425b,aggregate,autre société. Le,autre le
A711dabba42,aggregate,Actionnaires titulaires des actions dividendes prioritaires (ADP),actionnaires titulaires des actions dividendes prioritaires
A772cfd4b52,aggregate,PERSONNEL NON ACTIONNAIRE,personnel non actionnaire
A7d8e4fda7e,aggregate,PERSONNEL (stock-options),personnel stock options
A7e5e92b6ba,aggregate,Actionnaires à régulariser*,actionnaires a regulariser
Aa77dc5ca29,aggregate,Petits Porteurs,petits porteurs
Aa77dc5ca29,aggregate,Petits porteurs,petits porteurs
Aabad250fd7,aggregate,Actionnaires 5,actionnaires 5
Ab07465bd58,aggregate,actionnaire de BNP PARIBAS,actionnaire de bnp paribas
Ab2cae41628,aggregate,Actionnaires tu nisiens,actionnaires tu nisiens
Abb02adc6bc,aggregate,PERSONNEL TUVAL,personnel tuval
Abe9a211723,aggregate,TOOTAL,tootal
Ae132f8eac7,aggregate,Actionnaires titulaires des actions à dividende prioritaire (ADP),actionnaires titulaires des actions a dividende prioritaire
Ae242b7cd6f,aggregate,T O T A L,total
Ae45629a280,aggregate,ACCTIONNAIRES TUNISIENS,acctionnaires tunisiens
F0008246370,firm,"""RAIS CLUB""",rais club
F001486dd1f,firm,SODINO,sodino
F0021022908,firm,MOURAFIK III,mourafik iii
F002f06f6ca,firm,IAM PTY LTD,iam pty
F0038f7db29,firm,FCPR FONDS DE DEVELOPLOMENT REGIONAL 2,fcpr fonds de developloment regional 2
F004e4724b2,firm,SOCIETE LE GOLF DES OASIS,le golf des oasis
F004e4724b2,firm,STE LE GOLF DES OASIS,le golf des oasis
F005d07977e,firm,Règles applicables,regles applicables
F006b8af0a7,firm,F.I.G,fig
F007886723c,firm,Fonds Innovatech,fonds innovatech
F007ab3168b,firm,L'objectif du Comite est d'assister Le Conseil notamment dans,l objectif du comite est d assister le conseil notamment dans
F009a1c823e,firm,TUNISAIR,tunisair
F009b778d40,firm,Antonio Vincenti,antonio vincenti
F00c1dbb20f,firm,PDG AMEN PREMIERE,pdg amen premiere
F00ce59e75e,firm,environnements IT en lien avec la migration,environnements it en lien avec la migration
F00da406b36,firm,Depuis aout 2009 : Directeur Général,depuis aout 2009 directeur general
F00dcb40f72,firm,BTE – SICAR 300 000 10 3 000 000,bte sicar 300 000 10 3 000 000
F0112192081,firm,PLM EQUIPEMENTS,plm equipements
F011d8abed3,firm,TGH,tgh
F012dffff0e,firm,TUNIS RE,tunis re
F012dffff0e,firm,Tunis RE,tunis re
F012dffff0e,firm,Tunis Re,tunis re
F012dffff0e,firm,Tunis Ré,tunis re
F012dffff0e,firm,Tunis Ré * *,tunis re
F018620c8fd,firm,Ancien Président du Conseil de BTK LEASING,ancien president du conseil de btk leasing
F01f3abafb2,firm,Investrust,investrust
F020f9fcbbf,firm,HOTELLERIE,hotellerie
F02185b20cd,firm,ce Comité est composé des membres du Conseil,ce comite est compose des membres du conseil
F0222b62534,firm,Trois chartes ont été élaborées arrêtant,trois chartes ont ete elaborees arretant
F0228d8302d,firm,STE CAP CARTHAGE,cap carthage
F022f92493a,firm,IFICO,ifico
F024caad149,firm,Retraité Ministère des Finances - Ancien PDG de la Régie des Alcools,retraite ministere des finances ancien pdg de la regie des alcools
F0251988d15,firm,PDG du cabinet HB Consulting,pdg du cabinet hb consulting
F028fa3ec49,firm,Nombre de titres,nombre de titres
F029954fbba,firm,El Amana Takaful,el amana takaful
F02a79bb5cd,firm,de l'inspection à la STUSID BANK,de l inspection a la stusid bank
F02bb5dcf04,firm,PIMA,pima
F02d5eabf6a,firm,CAP OBLIG SICAV,cap oblig sicav
F02d76e1977,firm,FINANCIERE D'INVESTISSEMENT -SOFI SICAF- Il,financiere d investissement sofi sicaf il
F02ee267826,firm,Najb CHAABANE,najb chaabane
F0307c17d0c,firm,Ennakl Automobile – QNB Bank,ennakl automobile qnb bank
F031e224ef1,firm,"""H.LIBERTY""",h liberty
F031f8dac30,firm,"Siège 45, avenue Kheireddine Pacha 1002 TUNIS",siege 45 avenue kheireddine pacha 1002 tunis
F03359254d6,firm,Objet social Entreprendre toutes opérations d'Assurances et,objet social entreprendre toutes operations d assurances et
F03540bf405,firm,TDF,tdf
F0364b5cf33,firm,1) Règles applicables à la nomination et au remplacement des membres,1 regles applicables a la nomination et au remplacement des membres
F0370b09048,firm,Les charges d'exploitation,les charges d exploitation
F03937e7ee2,firm,10. SOCIETE ED DKHILA,10 ed dkhila
F03ab835317,firm,D'EMISSION ET D'ADMISSION EMPRUNT OBLIGATAIRE :UTL,d emission et d admission emprunt obligataire utl
F03b39a6862,firm,Mr Mehrez RIAHI,mehrez riahi
F03b8b16320,firm,Houssem BEN OTHMEN (2007),houssem ben othmen 2007
F03bbdc9c80,firm,5) Affectation des résultats de l'exercice 2005,5 affectation des resultats de l exercice 2005
F03d726e373,firm,M o h a m e d G h a z i B A A Z IZ,o h a e d g h a z i b a a z iz
F03e53f8fb3,firm,GESTIMO LOGISTIC,gestimo logistic
F040d0b4210,firm,SOCIETE IMMOBILIERE TUNISO SAOUDIENNE SITS,immobiliere tuniso saoudienne sits
F04174f74b8,firm,PGI - SICOF,pgi sicof
F041fd44b5b,firm,Mr Anouar BEN AMMAR,anouar ben ammar
F042a86f467,firm,Contrôle,controle
F042b0144ce,firm,DGA de finances,dga de finances
F04364d4483,firm,FCP MAC Horizon,fcp mac horizon
F04436c0b02,firm,SICAR INVEST,sicar invest
F04436c0b02,firm,Societé SICAR INVEST,sicar invest
F045c0b267d,firm,jEBALI,jebali
F0464c39ea0,firm,PGI (administrateur) - SICOF (administrateur) - COMAR (administrateur) - PARENIN,pgi administrateur sicof administrateur comar administrateur parenin
F048ef0547a,firm,"Générales, proceder à des nominations à titre",generales proceder a des nominations a titre
F0497ed4372,firm,Slimene BETTAIEB Président Lui même 2009-2011 Tunis,slimene bettaieb president lui meme 2009 2011 tunis
F0497ed4372,firm,Slimene BETTAIEB Président Lui même 2009‐2011 Tunis,slimene bettaieb president lui meme 2009 2011 tunis
F04b0bc88bf,firm,Le volet qualité et sécurité des soins du projet d'établissement,le volet qualite et securite des soins du projet d etablissement
