layer,year,n_edges,n_nodes,n_source_docs
board_appointment,2001,6,7,3
board_appointment,2005,19,23,4
board_appointment,2006,41,55,16
board_appointment,2007,20,28,8
board_appointment,2008,96,119,30
board_appointment,2009,129,156,43
board_appointment,2010,100,104,38
board_appointment,2018,1,2,1
board_appointment,2019,2,4,2
board_appointment,2020,4,7,3
board_appointment,2021,35,40,10
board_appointment,2026,1,2,1
board_interlock,1997,19,11,0
board_interlock,2005,10,9,0
board_interlock,2006,58,28,0
board_interlock,2007,141,68,0
board_interlock,2008,197,64,0
board_interlock,2009,54,43,0
board_interlock,2010,149,47,0
board_interlock,2011,245,81,0
board_interlock,2012,132,85,0
board_interlock,2013,181,65,0
board_interlock,2014,147,80,0
board_interlock,2015,123,65,0
board_interlock,2016,204,81,0
board_interlock,2017,195,72,0
board_interlock,2018,189,82,0
board_interlock,2019,22,22,0
board_interlock,2020,179,56,0
board_interlock,2021,353,111,0
board_interlock,2022,4,5,0
board_interlock,2023,305,89,0
board_interlock,2024,668,149,0
board_interlock,2025,595,125,0
board_interlock,2026,623,129,0
board_seat,1994,34,35,7
board_seat,1997,26,23,3
board_seat,2001,41,28,3
board_seat,2002,3,4,2
board_seat,2003,10,11,2
board_seat,2004,2,3,1
board_seat,2005,85,80,12
board_seat,2006,46,44,5
board_seat,2007,79,77,12
board_seat,2008,52,57,9
board_seat,2009,136,134,18
board_seat,2010,118,126,16
board_seat,2011,160,154,16
board_seat,2012,225,170,27
board_seat,2013,100,101,17
board_seat,2014,257,237,37
board_seat,2015,204,184,28
board_seat,2016,243,234,37
board_seat,2017,140,141,22
board_seat,2018,136,145,21
board_seat,2019,247,232,35
board_seat,2020,151,155,27
board_seat,2021,243,215,36
board_seat,2022,165,164,27
board_seat,2023,234,207,28
board_seat,2024,192,180,28
board_seat,2025,155,145,12
board_seat,2026,47,44,3
board_seat_corporate,1994,39,40,9
board_seat_corporate,1997,11,9,1
board_seat_corporate,1998,1,2,1
board_seat_corporate,2001,37,24,3
board_seat_corporate,2002,7,8,2
board_seat_corporate,2004,6,8,2
board_seat_corporate,2005,32,31,11
board_seat_corporate,2006,30,32,10
board_seat_corporate,2007,39,38,11
board_seat_corporate,2008,66,73,10
board_seat_corporate,2009,103,108,17
board_seat_corporate,2010,182,178,19
board_seat_corporate,2011,156,160,22
board_seat_corporate,2012,133,138,26
board_seat_corporate,2013,91,103,21
board_seat_corporate,2014,174,183,44
board_seat_corporate,2015,145,156,34
board_seat_corporate,2016,248,245,43
board_seat_corporate,2017,143,145,21
board_seat_corporate,2018,98,102,25
board_seat_corporate,2019,181,188,40
board_seat_corporate,2020,79,89,24
board_seat_corporate,2021,159,175,33
board_seat_corporate,2022,182,190,25
board_seat_corporate,2023,129,132,24
board_seat_corporate,2024,88,96,25
board_seat_corporate,2025,56,61,13
board_seat_corporate,2026,27,22,3
board_succession,2006,2,4,2
board_succession,2007,4,8,4
board_succession,2008,4,8,3
board_succession,2009,7,12,6
board_succession,2010,14,19,9
