edge_id,from_node_id,to_node_id,from_label,to_label,from_type,to_type,edge_label_raw,role_canonical,tie_class,layer,is_former,is_self_loop,source_line,evidence
SEEDE_da9b6206095f48ad,PERSON_MZABI_BRAHIM,CO_2_A_TANNING,BRAHIM MZABI,2 A TANNING,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,2,seed_only
SEEDE_56a96759dad7bfd6,PERSON_KAMOUN_KHAOULA,CO_2_K_EVENTS,KHAOULA KAMMOUN,2 K EVENTS,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,3,seed_only
SEEDE_2f4cab616301c736,PERSON_KAMOUN_KHOULOUD,CO_2_K_EVENTS,KHOULOUD KAMMOUN,2 K EVENTS,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,4,seed_only
SEEDE_da35f72b264284ae,PERSON_FEHRI_NOOMANE,CO_21_CENTURY_CONSULTING,NOOMANE FEHRI,21 CENTURY CONSULTING,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,5,seed_only
SEEDE_f01a31d5029cb0bd,PERSON_BENSEDRINE_KAIS,CO_21_LOGIX,KAIS BEN-SEDRINE,21 LOGIX,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,6,seed_only
SEEDE_3b97a45b7d16c364,PERSON_ABDENADHER_NIDHAL,CO_2A,NIDHAL ABDENNADHER,2A,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,7,seed_only
SEEDE_496700554e99547a,PERSON_BOURICHA_BOUBAKER,CO_2B_AGENCY,BOUBAKER BOURICHA,2B AGENCY,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,8,seed_only
SEEDE_0cb5cf8e62a4c9d8,PERSON_HAMAMI_ABDELMONAEM,CO_2F_DEVELOPMENT_AND_ENGINEERING,ABDELMONAEM HAMMAMI,2F DEVELOPMENT AND ENGINEERING,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,9,seed_only
SEEDE_2eebf96e0c34e3df,PERSON_CHBIL_MOHAMED_HEDI,CO_2M_FASHION,MOHAMED HEDI CHBIL,2M FASHION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,10,seed_only
SEEDE_db21b32cbc37e937,PERSON_TRIKI_LAMJED,CO_2M_INFORMATIQUE,LAMJED TRIKI,2M INFORMATIQUE,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,11,seed_only
SEEDE_6b8882e392a48cc7,PERSON_ZOUARI_KHALED,CO_2PRO_E,KHALED ZOUARI,2PRO E,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,12,seed_only
SEEDE_27fed6dddc2a51f1,PERSON_AMARA_MOURAD,CO_3A_CONFECTION,MOURAD AMARA,3A CONFECTION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,13,seed_only
SEEDE_770b296c9c8b4baf,PERSON_ABDENADHER_AMEUR,CO_3A_TS,AMEUR ABDENNADHER,3A TS,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,14,seed_only
SEEDE_5e657e92cd161b52,PERSON_DRIRA_MOHAMED,CO_3D,MOHAMED DRIRA,3D,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,15,seed_only
SEEDE_2c15519a8b876ee4,PERSON_SLAMA_NABIL,CO_3D_SOFT,NABIL SLAMA,3D SOFT,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,16,seed_only
SEEDE_1a1628a5adaebc86,PERSON_CHAABANE_ILHEM,CO_3I_EXPORT,ILHEM CHAABANE,3I EXPORT,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,17,seed_only
SEEDE_baa986c796168e49,PERSON_HAMAMI_MOHAMED,CO_3M_ELECT,MOHAMED HAMMAMI,3M ELECT,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,18,seed_only
SEEDE_4457e9a974ffd87f,PERSON_BABOU_FERIDA_SARA,CO_3S_SICAR,FERIDA SARRA BABBOU,3S SICAR,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,19,seed_only
SEEDE_83d96163a0fdfafc,PERSON_CHAKROUN_NASR_ALI,CO_3S_SICAR,NASR ALI CHAKROUN,3S SICAR,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,20,seed_only
SEEDE_f8a3c6f1644096e5,PERSON_CHAKROUN_NASR_ALI,CO_3S_SICAR,NASR ALI CHAKROUN,3S SICAR,PERSON,COMPANY,CEO,ceo,corporate_officer,corporate,False,False,21,seed_only
SEEDE_43b28fe239d2158e,PERSON_CHAKROUN_NASR_ALI,CO_3S_SICAR,NASR ALI CHAKROUN,3S SICAR,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,22,seed_only
SEEDE_25b28f92fa5227a2,CO_STANDARD_SHARING_SOFTWARE_3S,CO_3S_SICAR,STANDARD SHARING SOFTWARE 3S,3S SICAR,COMPANY,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,23,seed_only
SEEDE_8da212be773930b4,CO_3WA_FRANCE,CO_3W_ACADEMY_TUNISIE,3WA FRANCE,3W ACADEMY TUNISIE,COMPANY,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,24,seed_only
SEEDE_f8dddf5f166d1202,PERSON_DALILI_DJAMCHILD,CO_3W_ACADEMY_TUNISIE,DJAMCHILD DALILI,3W ACADEMY TUNISIE,PERSON,COMPANY,BOARD MEMBER,administrateur,corporate_officer,corporate,False,False,25,seed_only
SEEDE_a660e9c21c5989b9,PERSON_DALILI_DJAMCHILD,CO_3WA_FRANCE,DJAMCHILD DALILI,3WA FRANCE,PERSON,COMPANY,REPRESENTATIVE,representant,corporate_officer,corporate,False,False,26,seed_only
SEEDE_61f7af23d594f6be,PERSON_KHECHINE_ABIR,CO_4_M_MEUBLES_METALLIQUES,ABIR KHECHINE,4 M MEUBLES METALLIQUES,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,27,seed_only
SEEDE_6e04287c36ab575f,PERSON_KEFI_MOHAMED_ALI,CO_4_MK_INNOVATION,MOHAMED ALI KEFI,4 MK INNOVATION,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,28,seed_only
SEEDE_935669a845e374d7,PERSON_KHALIL_MOHAMED,CO_79LA_AGRICOLE_ERRAOUDHA,MOHAMED KHALIL,79LA SOCIETE AGRICOLE ERRAOUDHA,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,29,seed_only
SEEDE_91edec862cd8f8ae,PERSON_MABROUK_HANEN,CO_8000_PROD,HANEN MABROUK,8000 PROD,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,30,seed_only
SEEDE_e2110a7839587b93,PERSON_ZOUARI_ZAHIA,CO_A_A_Z_DESIGN,ZAHIA ZOUARI,A A Z DESIGN,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,31,seed_only
SEEDE_8421b39e1cd6b426,CO_MT_ELLOUMI,CO_A_B_M_MANAGEMENT,ETABLISSEMENT MT ELLOUMI,A B M MANAGEMENT,COMPANY,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,32,seed_only
SEEDE_d8fce610d196b2e2,PERSON_ABDENADHER_AMIR,CO_A_C_C,AMIR ABDENNADHER,A C C,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,33,seed_only
SEEDE_58ffb006ab5538e2,PERSON_ABDENADHER_MOUSTAFA,CO_A_C_C,MOUSTAFA ABDENNADHER,A C C,PERSON,COMPANY,SHAREHOLDER,shareholder,ownership,corporate,False,False,34,seed_only
SEEDE_d6aa33fe0a8e60ca,PERSON_KAMOUN_SALEM,CO_A_C_CONSULTING,SALEM KAMMOUN,A C CONSULTING,PERSON,COMPANY,MANAGER,gerant,corporate_officer,corporate,False,False,35,seed_only
