onset,terminus,tail,head,spell_id,role,layer,link_status
17156,22188,1,2,SP_994aed035a94c3226556,dg,corporate,ambiguous
-Inf,22311,1,2,SP_f351bcee7b71cdfb1c9b,dg,corporate,ambiguous
17156,22188,3,4,SP_324b6eea61f12d60c0b4,dg,corporate,ambiguous
-Inf,22311,3,4,SP_ad4e7c92ef569689b2f7,dg,corporate,ambiguous
16792,17164,5,6,SP_7b82a788e7bb9985e2e0,dg,corporate,ambiguous
17139,Inf,7,8,SP_23dea1cde43f86403a8e,gerant,corporate,resolved
17086,22560,9,10,SP_9d62beef2340c810bd79,gerant,corporate,resolved
-Inf,22560,9,10,SP_ba92bf8ad4aad99c4af9,gerant,corporate,resolved
-Inf,24139,11,12,SP_2f86503c0187547abf14,dg,corporate,ambiguous
17070,Inf,13,14,SP_08391739732a4d7a759f,pdg,corporate,resolved
17163,19336,15,16,SP_07893356c5db93d57cfe,gerant,corporate,resolved
17151,21167,17,18,SP_de7baf382d8aca8983f8,administrateur,corporate,ambiguous
17151,21167,19,18,SP_df5980488d0b6b9a9eaa,administrateur,corporate,ambiguous
17151,21167,20,18,SP_3271ae380dd660868b12,administrateur,corporate,ambiguous
17151,21167,21,18,SP_3a7e9e21b9d2620b94b1,administrateur,corporate,ambiguous
17164,21486,22,23,SP_b85c8c6bee96a55c1a07,dg,corporate,resolved
-Inf,17073,24,25,SP_27852abcdd90e3ff644f,administrateur,corporate,ambiguous
-Inf,17073,24,26,SP_7d9ecf848a63afa86f47,administrateur,corporate,ambiguous
-Inf,17073,27,26,SP_1bedf87c3240bb9cd386,administrateur,corporate,ambiguous
17154,Inf,28,29,SP_d39928c614d8f732a4b1,unspecified,corporate,ambiguous
17154,Inf,28,30,SP_de857cb56bfc7600e196,unspecified,corporate,resolved
17184,Inf,31,32,SP_f85f5645f40971d73844,president_ca,corporate,resolved
16228,18138,33,34,SP_ee37acbfbd5569c0e119,president_ca,corporate,resolved
16228,22035,35,34,SP_df0e7d1bab432c963d67,dg,corporate,resolved
17135,17275,36,37,SP_0d0edd983d8eb684da91,gerant,corporate,resolved
17145,Inf,38,39,SP_29bf20c1ff7676e654b4,pdg,corporate,ambiguous
-Inf,17144,40,41,SP_e54d85b583fb1bbca039,gerant,corporate,ambiguous
17124,21030,42,43,SP_5c600a6b558cd4f19dcc,gerant,corporate,resolved
-Inf,17178,44,45,SP_0a6b7e89d1df5c2da5e5,dg,corporate,ambiguous
17170,Inf,46,47,SP_ccdd8f4311b24a7e644e,commissaire_aux_comptes,corporate,resolved
17186,Inf,48,49,SP_3d36b47d8262e3201295,gerant,corporate,resolved
17191,Inf,50,51,SP_edd37fac0d1094deaed9,gerant,corporate,resolved
-Inf,17163,52,53,SP_77552aaace22b1bdf4f7,associe,corporate,ambiguous
-Inf,17134,24,54,SP_0b8e41ddd4810d4f6c13,administrateur,corporate,ambiguous
-Inf,17134,55,54,SP_081e5d3dd246071ef983,administrateur,corporate,resolved
-Inf,17073,24,56,SP_db3d39ea2e6300f0d7ce,administrateur,corporate,ambiguous
-Inf,17073,27,56,SP_e0332c005145c62a4fae,administrateur,corporate,ambiguous
-Inf,17108,57,58,SP_80d615da0758e1a3c02e,administrateur,corporate,ambiguous
-Inf,17108,59,58,SP_e4fddf3ed774e2ccfff5,administrateur,corporate,ambiguous
17188,20904,60,61,SP_2e931a314711081dab5e,gerant,corporate,resolved
17162,Inf,62,63,SP_6f41009ee4329e15ba6f,commissaire_aux_comptes,corporate,resolved
17180,Inf,64,65,SP_f1a7c51c5d1f4b23e53e,gerant,corporate,resolved
17209,Inf,66,67,SP_9eff57f3bccf9679cc94,cogerant,corporate,resolved
-Inf,16596,68,69,SP_d17c199543a078594e46,gerant,corporate,ambiguous
-Inf,16596,70,69,SP_f1822f8308e501c497b9,gerant,corporate,ambiguous
-Inf,17271,70,69,SP_f1822f8308e501c497b9,gerant,corporate,ambiguous
17191,Inf,71,72,SP_46ddac1fa7164e6b26a4,commissaire_aux_comptes,corporate,resolved
17195,Inf,22,73,SP_e3545ab9af5085a7f18b,gerant,corporate,resolved
-Inf,17160,74,75,SP_8df00a4ab24df05f7b37,administrateur,corporate,ambiguous
17177,18963,76,77,SP_33557d3edd70feb79571,gerant,corporate,ambiguous
-Inf,22583,76,77,SP_fb120c33e089e1a5a206,gerant,corporate,ambiguous
