vertex.id,node_id,label,node_type
1,PERSON_MHIRI_SAMI,SAMI MHIRI,PERSON
2,CO_TOURISME_LOISIRS,SOCIETE TOURISME ET LOISIRS,ORG
3,PERSON_MHIRI_NEJI,NEJI MHIRI,PERSON
4,PERSON_BENROMDHANE_SALEM,SALEM BEN-ROMDHANE,PERSON
5,PERSON_MZAH_LASAAD,LASSAAD MZAH,PERSON
6,CO_SMVDA_RAOUDHA,SMVDA RAOUDHA,ORG
7,PERSON_ROBERT_JEAN_LUC_PHILIPE,JEAN LUC PHILIPPE ROBERT,PERSON
8,CO_AIR_LIQUIDE_TUNISIE,AIR LIQUIDE TUNISIE,ORG
9,CO_AIR_LIQUIDE_TUNISIE_SERVICES,AIR LIQUIDE TUNISIE SERVICES,ORG
10,PERSON_BOUCHAMAOUI_MAHER,MAHER BOUCHAMAOUI,PERSON
11,CO_SICAR_ZARAT,SICAR ZARAT,ORG
12,PERSON_AMOUS_KARIM,KARIM AMOUS,PERSON
13,CO_CONSEIL,SOCIETE LE CONSEIL,ORG
14,PERSON_HAMAMI_MOHAMED,MOHAMED HAMMAMI,PERSON
15,CO_PROGRES_INDUSTRIEL,ENTREPRISE DU PROGRES INDUSTRIEL,ORG
16,PERSON_BOUJBEL_INES,INES BOUJBEL,PERSON
17,CO_DEYMA,SOCIETE DEYMA,ORG
18,PERSON_ZOUAOUI_BELHASEN,BELHASSEN ZOUAOUI,PERSON
19,CO_DAPPAREILLAGE_EQUIPEMENT_SCIENTIFIQUE_AES,SOCIETE DAPPAREILLAGE ET EQUIPEMENT SCIENTIFIQUE AES,ORG
20,PERSON_HAFOUDHI_SLAHEDINE,SLAHEDDINE HAFOUDHI,PERSON
21,CO_FONDATION,LA FONDATION,ORG
22,PERSON_BEYRAKDAR_HATEM,HATEM BEYRAKDAR,PERSON
23,CO_TECHNOGAS,TECHNOGAS,ORG
24,PERSON_TRABELSI_MOHAMED,MOHAMED TRABELSI,PERSON
25,CO_SPEED,SPEED,ORG
26,PERSON_MEHREZ_MOHAMED_ELFEHRY,MOHAMED EL-FEHRY MEHREZ,PERSON
27,CO_NEGOCE_DISTRIBUTION,SOCIETE NEGOCE ET DISTRIBUTION,ORG
28,PERSON_MEHREZ_CHAMSEDINE,CHAMSEDDINE MEHREZ,PERSON
29,PERSON_MEHREZ_IDRIS,IDRIS MEHREZ,PERSON
30,PERSON_MEHREZ_MOUNA,MOUNA MEHREZ,PERSON
31,PERSON_BAYAHI_TAHER,TAHER BAYAHI,PERSON
32,CO_REGIONALE_COMMERCE_GOUVERNORAT_BEJA,SOCIETE REGIONALE DE COMMERCE GOUVERNORAT DE BEJA,ORG
33,PERSON_KILANI_KAIS,KAIS KILANI,PERSON
34,CO_TUNISIE_EVIERS_CUCCINA,TUNISIE EVIERS CUCCINA,ORG
35,PERSON_SASI_AHMED,AHMED SASSI,PERSON
36,CO_PYRAMIDES_PARFUMS,PYRAMIDES PARFUMS,ORG
37,CO_TOURISTIQUE_EL_MOURADI,SOCIETE TOURISTIQUE EL-MOURADI,ORG
38,PERSON_BOURICHA_SONIA,SONIA BOURICHA,PERSON
39,CO_PROXI,PROXI,ORG
40,CO_COMPTOIR_TUNISIEN_PAPIERS,COMPTOIR TUNISIEN DES PAPIERS CTP,ORG
41,PERSON_BOURICHA_ABDELHAMID,ABDELHAMID BOURICHA,PERSON
42,PERSON_GHORBEL_SLIM,SLIM GHORBEL,PERSON
43,CO_AFRICA_ELECTRIQUE,SOCIETE AFRICA ELECTRIQUE,ORG
44,CO_MOHAMED_GHORBEL,ETABLISSEMENT MOHAMED GHORBEL,ORG
45,PERSON_JELOULI_NOUREDINE,NOUREDDINE JELLOULI,PERSON
46,CO_CEPTUNES,CEPTUNES,ORG
47,PERSON_ABDELKEFI_AHMED,AHMED ABDELKEFI,PERSON
48,CO_TUNISIE_LEASING,TUNISIE LEASING,ORG
49,PERSON_MESTIRI_FETHI,FETHI MESTIRI,PERSON
50,PERSON_CHAOUECH_HEDI,HEDI CHAOUECH,PERSON
51,CO_GABRIELLE_NAUTIQUE,SOCIETE GABRIELLE NAUTIQUE,ORG
52,PERSON_AMICHE_FOUED,FOUED AMICHE,PERSON
53,CO_POISSONS_SAHEL,SOCIETE DES POISSONS DU SAHEL,ORG
54,PERSON_MEZGHANI_MOHAMED_SALAH,MOHAMED SALAH MEZGHANI,PERSON
55,CO_GALPHARMA,GALPHARMA,ORG
56,PERSON_DERBEL_FAYCEL,FAYCEL DERBEL,PERSON
57,CO_AGRICOLE_TESTOUR,SOCIETE AGRICOLE DE TESTOUR,ORG
58,PERSON_SASI_KHALED,KHALED SASSI,PERSON
59,CO_ELECTRONIQUE_INDUSTRIEL_TELECOM_SERVICES,ELECTRONIQUE INDUSTRIEL ET TELECOM SERVICES,ORG
60,PERSON_BENKHALIFA_SAID,SAID BEN-KHALIFA,PERSON
61,CO_NOS_ENFANTS,SOCIETE NOS ENFANTS,ORG
62,PERSON_JEMAL_MONCEF,MONCEF JEMAL,PERSON
63,CO_PANORAMA,PANORAMA,ORG
64,PERSON_SASI_ADEL_BENCHABAANE,ADEL BEN-CHABAANE SASSI,PERSON
65,CO_ESPACE_CREATION,ESPACE ET CREATION,ORG
66,CO_SOTEFI,SOTEFI,ORG
67,PERSON_LOUKIL_MOEZ,MOEZ LOUKIL,PERSON
68,CO_TOURISTIQUE,SOCIETE TOURISTIQUE,ORG
69,PERSON_CHAKROUN_NASR_ALI,NASR ALI CHAKROUN,PERSON
70,CO_TUNISIA_NETWORK,TUNISIA NETWORK,ORG
71,PERSON_ALOUCHE_ANIS,ANIS ALLOUCHE,PERSON
72,PERSON_NIEF_GILES,GILLES NIEF,PERSON
73,CO_NP_TUNISIA,NP TUNISIA,ORG
74,PERSON_BENAOUN_ALI,ALI BEN-AOUN,PERSON
75,CO_AMEN_CONFORT_BRIMA,SOCIETE AMEN CONFORT BRIMA,ORG
76,PERSON_MAHMOUDI_HOUDA,HOUDA MAHMOUDI,PERSON
77,CO_ERRAHMA_DEXPLOITATION_AGRICOLE,ERRAHMA DEXPLOITATION AGRICOLE,ORG
78,PERSON_HARZALAH_AHMED,AHMED HARZALLAH,PERSON
79,CO_TUNISIAN_ITALIAN_LIGHTING_COMPANY,TUNISIAN ITALIAN LIGHTING COMPANY,ORG
80,PERSON_AMDOUNI_MOURAD,MOURAD AMDOUNI,PERSON
81,CO_SCEMAF,SOCIETE SCEMAF,ORG
82,CO_ISICOM,ISICOM,ORG
83,PERSON_FARSI_MOHAMED,MOHAMED FARSI,PERSON
84,CO_SOCOMENIN,SOCOMENIN,ORG
85,PERSON_ABDENADHER_AMEUR,AMEUR ABDENNADHER,PERSON
86,CO_SIDILEC_INTERNATIONAL,SIDILEC INTERNATIONAL,ORG
87,PERSON_BENSEDRINE_FERIEL_BENALI,FERIEL BEN-ALI BEN-SEDRINE,PERSON
88,CO_SAFTY,SAFTY,ORG
89,PERSON_ABDELKEFI_MOHAMED,MOHAMED ABDELKEFI,PERSON
90,CO_CIVILE_IMMOBILIERE_ROMAIN_VILLA,SOCIETE CIVILE IMMOBILIERE ROMAIN VILLA,ORG
91,CO_OLEA,OLEA,ORG
92,PERSON_DKHILI_BELGACEM,BELGACEM DKHILI,PERSON
93,CO_TUNISIENNE_BOISSONS_CENTRE_STBC,SOCIETE TUNISIENNE DES BOISSONS DU CENTRE STBC,ORG
94,PERSON_KHEMAKHEM_MONCEF,MONCEF KHEMAKHEM,PERSON
