entity_key,org_entity_id,entity_basis,n_events
AMB:&,ORGE_a0bd451e83ae6de717c1,ambiguous_mention,18
AMB:1,ORGE_ed01c42b2e93a0165077,ambiguous_mention,1
AMB:1 10 LIEU OU PEUVENT ETRE CONSULTES DOCUMENTS,ORGE_c052329c7ac160fec9c6,ambiguous_mention,2
AMB:1 AUGMENTATION CAPITAL,ORGE_72175645ecc3f8aa7309,ambiguous_mention,1
AMB:1 DISOLUTION,ORGE_7a56889bb3b4fb30ea6a,ambiguous_mention,4
AMB:1 FORME,ORGE_aaa9b0d8252fd0b7f32e,ambiguous_mention,2
AMB:1 LIQUIDATION DISOLUTION,ORGE_9af2922007cf27e6b1a3,ambiguous_mention,6
AMB:1 RENSEIGNEMENTS CARACTERE GENERAL CONCERNANT,ORGE_4cd72f397e6fa54442db,ambiguous_mention,19
AMB:10,ORGE_acc555aa4fb8818ffb9a,ambiguous_mention,1
AMB:1001 TUNIS,ORGE_2c0bcbda15871d253ae9,ambiguous_mention,1
AMB:1002 TUNIS,ORGE_0b527f1ce7070a28ed69,ambiguous_mention,3
AMB:1640 TUNISIA,ORGE_6d87d413c4972a415ab0,ambiguous_mention,1
AMB:1ERE RESOLUTION,ORGE_95220fb02ab0182fbab2,ambiguous_mention,3
AMB:2 FORME,ORGE_deca696207141296559c,ambiguous_mention,1
AMB:2 MODIFIER EN CONSEQUENCE CETE RESOLUTION L'ARTICLE 7 STATUTS,ORGE_867abe65357a9a5bb982,ambiguous_mention,2
AMB:2013 BEN AROUS,ORGE_e749c775fc71e7da5ce2,ambiguous_mention,4
AMB:2R DISTRIBUTION,ORGE_cf716afc5348fd38a2d0,ambiguous_mention,2
AMB:2S,ORGE_86c50e531dc7fcc97f75,ambiguous_mention,3
AMB:3 MODIFICATION L'ARTICLE 6 STATUTS,ORGE_f05a5e6005c11e4e2e60,ambiguous_mention,1
AMB:3C,ORGE_907981ff705674e735fa,ambiguous_mention,2
AMB:3M,ORGE_0cf0404c0b1595003056,ambiguous_mention,4
AMB:3M COMERCE,ORGE_4923155800ba35ded342,ambiguous_mention,2
AMB:3STAR,ORGE_a71fa4fbfb63d174bc7a,ambiguous_mention,2
AMB:A,ORGE_f6baf5e8a9a5609a8b50,ambiguous_mention,445
AMB:A AND J MEGA STORE,ORGE_0b0caca9e96be88da095,ambiguous_mention,1
AMB:A B C,ORGE_c451becfbe5e82c416bb,ambiguous_mention,1
AMB:A B P,ORGE_cf0c230e830f39ba5985,ambiguous_mention,1
AMB:A CET ACTE SONT DEMEURES ANEXES,ORGE_a64e40d461f69d32a01e,ambiguous_mention,2
AMB:A D M ATELIER MARBRE,ORGE_5945eed5ffad81ab6c1c,ambiguous_mention,2
AMB:A POUR OBJET,ORGE_6ddbb5afde886ff09b64,ambiguous_mention,2
AMB:A RESPONSABILITE LIMITEE,ORGE_409aaebd2f6a1f8c1eac,ambiguous_mention,23
AMB:AB CONSULTING,ORGE_69288f5193ece2d245db,ambiguous_mention,2
AMB:ABC,ORGE_23f78ff7ab83691fb8ee,ambiguous_mention,2
AMB:ABC AUDIT CONSEIL,ORGE_64172a9d2a2ea7db9e94,ambiguous_mention,2
AMB:ABC COMPOSITE,ORGE_d3d42d2b8925221aae5a,ambiguous_mention,1
AMB:ABC TRADE,ORGE_622e3da9f0b563107eb6,ambiguous_mention,2
AMB:ABC WEBMARKETING,ORGE_af048889e3d727815c5a,ambiguous_mention,5
AMB:ABDELKEFI FILS,ORGE_c152be5797c691887715,ambiguous_mention,1
AMB:ABDELMALEK,ORGE_bf6e112b653230470b4a,ambiguous_mention,1
AMB:ABM IMOBILIER,ORGE_896b7ac62ad9e3b93d2e,ambiguous_mention,2
AMB:ABOU EL ABD,ORGE_d5d4fd9258d6ca907a73,ambiguous_mention,5
AMB:ABT INTERNATIONAL,ORGE_b4c9b78b5a020f634587,ambiguous_mention,2
AMB:ABV TUNISIE,ORGE_435e6b6b14ebafddaffe,ambiguous_mention,2
AMB:ACAPLAST ATLAS,ORGE_70099c1f94e36761c648,ambiguous_mention,2
AMB:ACEPTATION D'UN NOUVEAU ASOCIE,ORGE_93b1f34ad4c7d54ef195,ambiguous_mention,2
AMB:ACEPTATION DEMISION GERANT NOMINATION D'UN NOUVEAU GERANT,ORGE_f729d88f02056c9189da,ambiguous_mention,4
AMB:ACESOIRES TEXTILES COMPANY,ORGE_0ace49380edd834316b3,ambiguous_mention,1
AMB:ACIA SUD EXPORT,ORGE_447c202c094bd2cc5853,ambiguous_mention,2
AMB:ACIER MECANIQUE TUNISIE,ORGE_6129fc94b784f4b7a823,ambiguous_mention,1
AMB:ACOUSTICA,ORGE_5e8793b6ca194a3d2d4f,ambiguous_mention,1
AMB:ACTELO,ORGE_6304b4e3127ce4878153,ambiguous_mention,2
AMB:ACUMEN BUSINES CONSULTING,ORGE_a365dd96e5d514d9344f,ambiguous_mention,1
AMB:ADAM EXPORT,ORGE_72ee9762584f0a611bfa,ambiguous_mention,3
AMB:ADAM OIL,ORGE_c898482cf92a58e10ebc,ambiguous_mention,3
AMB:ADEM,ORGE_48dfb423100f8dcf1d3f,ambiguous_mention,15
AMB:ADITIF,ORGE_e16f34a0a436dd80b8b0,ambiguous_mention,2
AMB:ADIWEN PRODUCTION AUDIO VISUELE,ORGE_2e890cbed1392a1f67b7,ambiguous_mention,1
AMB:ADJOINT,ORGE_d59c5586886c0092b2c8,ambiguous_mention,1
AMB:ADVANCIA,ORGE_caa9f2c4dbc73a3d0e5e,ambiguous_mention,5
AMB:ADVISORY SERVICES,ORGE_eaad43394b9df099c80b,ambiguous_mention,2
AMB:AEROTECH,ORGE_b9609ddc16ff826e7a8e,ambiguous_mention,2
AMB:AFAREX,ORGE_d96bebf40d833c0825dc,ambiguous_mention,2
AMB:AFLO DECO,ORGE_42c12b3339b62a1fee2f,ambiguous_mention,2
AMB:AFREN DISTRIBUTION,ORGE_da3dbe993a5398f59c4f,ambiguous_mention,3
AMB:AFRIC FIDUCIAL,ORGE_3eb566f167bb490b80e3,ambiguous_mention,1
AMB:AFRICA ASAINISEMENT NETOYAGE SERVICES SANES,ORGE_2ac958e27752c5273baf,ambiguous_mention,1
AMB:AFRICA SERVICES,ORGE_1a1b780de2171eb4a1d4,ambiguous_mention,2
AMB:AFRICAINE COMERCE AFRICOM,ORGE_24df770c362529928477,ambiguous_mention,2
AMB:AFRIK NUMERIC,ORGE_c771fff3332e771177d8,ambiguous_mention,1
