id_type,value_normalised,rne_name_fr,rne_name_ar,rne_category,rne_year_creation,seed_org_id,seed_org_label,match_basis,match_score,is_identity,n_jort_orgs
matricule_fiscal,1000000H,,شركة عليسة للصناعة ش م م,SOCIETE,2007,,,no_french_name,,0,2
matricule_fiscal,1000010K,,أبوت بروداكتس تونس,SOCIETE,2007,,,no_french_name,,0,1
matricule_fiscal,1000031Q,TUN INDIA,شركة تونينديا,SOCIETE,2007,,,none,0.0,0,1
matricule_fiscal,1000090C,,أ د ب  أس تونس ش م م,SOCIETE,2007,,,no_french_name,,0,1
matricule_fiscal,1000142X,SOCIETE CHEMISERIE FRANCAISE-CHF,مصنع الاقمصة  الفرنسي,SOCIETE,2007,,,discriminating_fuzzy,0.5957,0,1
matricule_fiscal,1000201Q,COMPTOIR BANLIEU DE  QUINCAILLERIE - COBAQ,مصرف الضاحية للمواد الحديدية,SOCIETE,2007,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1000211S,,شركة قروب أنفو,SOCIETE,2007,,,no_french_name,,0,1
matricule_fiscal,1000240Y,GLOBAL SOFT.NET,GLOBAL  SOFT.NET,SOCIETE,2007,CO_GLOBAL_SOFT_NET,GLOBAL SOFT NET,exact,1.0,1,1
matricule_fiscal,1000267K,STE LINDA DE DEVELOPPEMENT ET D'INVESTISSEMENT AGRICOLE,شركة ليندا للتنمية و الاستثمار الفلاحي,SOCIETE,2007,,,generic_fuzzy,0.8,0,1
matricule_fiscal,1000295P,BDCC,الشركة الرقمية  الممتازة للاتصال والاستشارة,SOCIETE,2007,,,none,0.0,0,1
matricule_fiscal,1000355J,ITAL.FIBRE,ايطالفيبر ش ش م م,SOCIETE,2007,,,discriminating_fuzzy,0.6667,0,1
matricule_fiscal,1000356K,,شركة التا موبل,SOCIETE,2007,,,no_french_name,,0,1
matricule_fiscal,1000357L,TAM,"التونسية للتدقيق والتصرف "" T A M",SOCIETE,2007,,,none,0.0,0,1
matricule_fiscal,10003J,TUNISIA WELCOME SERVICE,شركة تونس لخدمات الاستقبال السياحي,SOCIETE,1997,CO_TUNISIA_WELCOME_SERVICE,TUNISIA WELCOME SERVICE TWS,exact,1.0,1,2
matricule_fiscal,1000464N,STE C T G S,شركة تغليف جميع أنواع الكراسي,SOCIETE,2007,,,none,0.0,0,1
matricule_fiscal,1000534K,,المهنية للخدمات ش م م,SOCIETE,2007,,,no_french_name,,0,1
matricule_fiscal,1000551L,,الشركة الصناعيةالعامة للخياطة بصفاقس,SOCIETE,2007,,,no_french_name,,0,1
matricule_fiscal,1000557S,STE ANACHROM,شركة أناكروم,SOCIETE,2007,CO_ANACHROM,ANACHROM,exact,1.0,1,1
matricule_fiscal,1000592W,CMT,"شركة المركز الطبي التو نسيC M T""",SOCIETE,2007,,,none,0.0,0,1
matricule_fiscal,1000597B,SOCIETE T'PAP   'SA',ت. باب,SOCIETE,2008,,,none,0.0,0,1
matricule_fiscal,1000600C,WORLD WIDE 109,109 العالمية,SOCIETE,2007,,,discriminating_fuzzy,0.8333,0,1
matricule_fiscal,1000601D,HEWLETT-PACKARD MAGHREB,شركة هوليت بكارد مغراب,SOCIETE,2007,CO_HEWLETT_PACKARD_MAGHREB,HEWLETT PACKARD MAGHREB,exact,1.0,1,1
